id_run,data,modelo,dataset,combinacao,fold,acuracia,precisao,recall,f1,auc,perda_treino
1,20260812,resnet50,CR-SameRes,img_original,1,0.967741935483871,1.0,0.9411764705882353,0.9696969696969697,1.0,0.035955476547207904
2,20260812,resnet50,CR-SameRes,img_original,2,0.9333333333333333,0.8888888888888888,1.0,0.9411764705882353,1.0,0.022402048987500808
3,20260812,resnet50,CR-SameRes,img_original,3,1.0,1.0,1.0,1.0,1.0,0.013310903108076137
4,20260812,resnet50,CR-SameRes,img_original,4,0.9666666666666667,1.0,0.9411764705882353,0.9696969696969697,1.0,0.00814725281944608
5,20260812,resnet50,CR-SameRes,img_original,5,0.9333333333333333,1.0,0.8823529411764706,0.9375,1.0,0.014852697751028281
6,20260812,resnet50,CR-SameRes,img_original,media,0.960215053763441,0.9777777777777779,0.9529411764705884,0.963614081996435,1.0,
7,20260812,resnet50,UCSB,img_original,1,0.9166666666666666,0.8333333333333334,1.0,0.9090909090909091,1.0,0.005750840935760584
8,20260812,resnet50,UCSB,img_original,2,0.8333333333333334,0.8,0.8,0.8,0.9428571428571428,0.022455965228474293
9,20260812,resnet50,UCSB,img_original,3,0.9166666666666666,1.0,0.8333333333333334,0.9090909090909091,0.8611111111111112,0.005172562158594911
10,20260812,resnet50,UCSB,img_original,4,0.8181818181818182,0.7142857142857143,1.0,0.8333333333333334,0.9666666666666667,0.004265777157762876
11,20260812,resnet50,UCSB,img_original,5,1.0,1.0,1.0,1.0,1.0,0.004878053525223946
12,20260812,resnet50,UCSB,img_original,media,0.8969696969696969,0.8695238095238096,0.9266666666666665,0.8903030303030303,0.9541269841269842,
13,20260812,resnet50,CR-SameRes,img_original,1,0.9032258064516129,1.0,0.8235294117647058,0.9032258064516129,0.9831932773109244,0.011875249208042435
14,20260812,resnet50,CR-SameRes,img_original,2,0.9333333333333333,0.8888888888888888,1.0,0.9411764705882353,0.9955357142857143,0.029213444238492085
15,20260812,resnet50,CR-SameRes,img_original,3,1.0,1.0,1.0,1.0,1.0,0.02111632892332387
16,20260812,resnet50,CR-SameRes,img_original,4,0.9666666666666667,1.0,0.9411764705882353,0.9696969696969697,1.0,0.011447390810787385
17,20260812,resnet50,CR-SameRes,img_original,5,0.9666666666666667,1.0,0.9411764705882353,0.9696969696969697,0.9728506787330317,0.012574321544710911
18,20260812,resnet50,CR-SameRes,img_original,media,0.9539784946236558,0.9777777777777779,0.9411764705882353,0.9567592432867574,0.9903159340659341,
19,20260812,resnet50,UCSB,img_original,1,0.6666666666666666,0.5555555555555556,1.0,0.7142857142857143,1.0,0.003338029023068838
20,20260812,resnet50,UCSB,img_original,2,0.9166666666666666,1.0,0.8,0.8888888888888888,0.8857142857142857,0.0028231041207431983
